2,24,5.18,5.38,6.55,12.19,12.3,2.57,3.12,3.12,3.12,5.34,5.44,7.02
2,25,5.16,5.36,6.53,12.19,12.3,2.58,3.13,3.13,3.13,5.36,5.46,7.03
2,26,5.13,5.33,6.5,12.18,12.3,3,3.15,3.15,3.15,5.37,5.47,7.04
2,27,5.11,5.31,6.48,12.18,12.3,3.01,3.16,3.16,3.16,5.39,5.49,7.06
2,28,5.09,5.29,6.46,12.18,12.3,3.02,3.17,3.17,3.17,5.41,5.51,7.08
3,1,5.05,5.25,6.42,12.18,12.3,3.05,3.2,3.2,3.2,5.45,5.55,7.11
3,2,5.03,5.23,6.4,12.18,12.3,3.06,3.21,3.21,3.21,5.46,5.56,7.12
3,3,5.01,5.21,6.38,12.17,12.3,3.07,3.22,3.22,3.22,5.48,5.58,7.13
3,4,4.58,5.18,6.35,12.17,12.3,3.09,3.24,3.24,3.24,5.5,6,7.15
3,5,4.56,5.16,6.33,12.17,12.3,3.1,3.25,3.25,3.25,5.52,6.02,7.16
3,6,4.54,5.14,6.31,12.17,12.3,3.11,3.26,3.26,3.26,5.53,6.03,7.17
3,7,4.52,5.12,6.29,12.16,12.3,3.12,3.27,3.27,3.27,5.55,6.05,7.18
3,8,4.5,5.1,6.27,12.16,12.3,3.13,3.28,3.28,3.28,5.57,6.07,7.2
3,9,4.47,5.07,6.24,12.16,12.3,3.15,3.3,3.3,3.3,5.58,6.08,7.2
3,10,4.45,5.05,6.22,12.16,12.3,3.16,3.31,3.31,3.31,6,6.1,7.22
3,11,4.43,5.03,6.2,12.15,12.3,3.17,3.32,3.32,3.32,6.02,6.12,7.24
3,12,4.41,5.01,6.18,12.15,12.3,3.18,3.33,3.33,3.33,6.04,6.14,7.26
3,13,4.38,4.58,6.15,12.15,12.3,3.19,3.34,3.34,3.34,6.05,6.15,7.26
3,14,4.36,4.56,6.13,12.15,12.3,3.2,3.35,3.35,3.35,6.07,6.17,7.28
3,15,4.34,4.54,6.11,12.14,12.3,3.21,3.36,3.36,3.36,6.09,6.19,7.3
3,16,4.32,4.52,6.09,12.14,12.3,3.22,3.37,3.37,3.37,6.1,6.2,7.31
3,17,4.29,4.49,6.06,12.14,12.3,3.23,3.38,3.38,3.38,6.12,6.22,7.32
3,18,4.27,4.47,6.04,12.13,12.3,3.24,3.39,3.39,3.39,6.14,6.24,7.34
3,19,4.25,4.45,6.02,12.13,12.3,3.25,3.4,3.4,3.4,6.16,6.26,7.36
3,20,4.23,4.43,5.59,12.13,12.3,3.26,3.41,3.41,3.41,6.17,6.27,7.37
3,21,4.21,4.41,5.57,12.13,12.3,3.27,3.42,3.42,3.42,6.19,6.29,7.38
3,22,4.2,4.4,5.55,12.12,12.3,3.28,3.43,3.43,3.43,6.21,6.31,7.4
3,23,4.18,4.38,5.53,12.12,12.3,3.29,3.44,3.44,3.44,6.22,6.32,7.41
3,24,4.15,4.35,5.5,12.12,12.3,3.3,3.45,3.45,3.45,6.24,6.34,7.43
3,25,4.13,4.33,5.48,12.11,12.3,3.31,3.46,3.46,3.46,6.26,6.36,7.44
3,26,4.13,4.33,5.48,12.11,12.3,3.31,3.46,3.46,3.46,6.26,6.36,7.45
3,27,4.12,4.32,5.46,1.11,1.3,4.32,4.49,4.47,4.47,7.29,7.39,8.47
3,28,5.08,5.28,6.41,1.1,1.3,4.34,4.49,4.49,4.49,7.31,7.41,8.49
3,29,5.06,5.26,6.39,1.1,1.3,4.35,4.5,4.5,4.5,7.32,7.42,8.49
3,30,5.04,5.24,6.37,1.1,1.3,4.36,4.51,4.51,4.51,7.34,7.44,8.51
3,31,5.02,5.22,6.34,1.1,1.3,4.37,4.52,4.52,4.52,7.36,7.46,8.53
4,1,5,5.2,6.32,1.09,1.3,4.38,4.53,4.53,4.53,7.37,7.44,8.54
4,2,4.58,5.18,6.3,1.09,1.3,4.39,4.54,4.54,4.54,7.39,7.46,8.56
4,3,4.56,5.16,6.28,1.09,1.3,4.4,4.55,4.55,4.55,7.41,7.48,8.57
4,4,4.53,5.13,6.25,1.08,1.3,4.4,4.55,4.55,4.55,7.42,7.47,8.58
4,5,4.51,5.11,6.23,1.08,1.3,4.41,4.56,4.56,4.56,7.44,7.51,9
4,6,4.49,5.09,6.21,1.08,1.3,4.42,4.57,4.57,4.57,7.46,7.53,9.02
